runs,visibility,interactivity score,donation_value,diameter
1,283479,124748,1596,3
2,326544,131341,176,3
3,315088,124125,213,3
4,314891,130745,77,3
5,312529,125561,248,3
6,342990,131635,2137,3
7,339495,147579,102,3
8,293883,114482,1062,3
9,337219,142369,203,3
10,348586,135220,45,3
11,314874,125948,0,3
12,329823,133283,893,3
13,296656,127478,5474,3
14,331428,141349,1415,3
15,293908,119311,0,3
16,341195,141434,0,3
17,337679,154573,4551,3
18,285972,110553,108,3
19,351510,137573,54,3
20,357721,155058,0,3
21,337341,142428,1,3
22,308215,130283,240,3
23,340422,136922,273,3
24,325941,127627,21,3
25,350144,169883,580,3
26,319213,132935,104,3
27,321253,128106,209,3
28,310500,117038,1688,3
29,337259,153555,24,3
30,336176,147863,47,3
31,320792,138741,208,3
32,316770,138541,0,3
33,328378,140636,1071,3
34,339286,134278,0,3
35,335153,132705,0,3
36,334914,138160,0,3
37,290388,124971,556,3
38,321009,150054,2269,3
39,332557,145134,930,3
40,290910,127571,196,3
41,352706,148310,580,3
42,315018,115888,201,3
43,345495,141623,36,3
44,335590,148162,192,3
45,331172,153027,45,3
46,326191,131449,13,3
47,310421,135432,138,3
48,317763,124943,8,3
49,321686,130378,173,3
50,320459,134278,437,3
