runs,visibility,interactivity score,donation_value,diameter
1,292275,130981,900,3
2,290250,126276,526,3
3,325868,148269,452,3
4,340717,152171,0,3
5,325276,137860,11,3
6,300735,126580,612,3
7,350206,151157,0,3
8,326358,140375,784,3
9,297043,129742,992,3
10,324571,145786,128,3
11,325679,149355,637,3
12,303492,125709,804,3
13,305044,139141,578,3
14,333071,144697,137,3
15,322764,140100,793,3
16,307255,122018,44,3
17,311434,145242,728,3
18,325725,134708,0,3
19,322485,138447,312,3
20,307528,139026,885,3
21,349740,151556,872,3
22,309891,141257,980,3
23,335233,130548,1829,3
24,310264,136995,420,3
25,318828,139245,51,3
26,300693,127129,982,3
27,340576,144854,726,3
28,331725,140187,1044,3
29,334791,128698,14,3
30,326720,136223,252,3
31,348343,147413,258,3
32,318922,145621,291,3
33,300520,132105,0,3
34,304070,128521,408,3
35,323841,142640,154,3
36,305469,135723,133,3
37,291160,127021,45,3
38,314908,129784,79,3
39,343471,122638,21,3
40,313837,132153,1315,3
41,319549,142647,1755,3
42,297491,132415,2589,3
43,305286,120633,847,3
44,306358,127950,0,3
45,327721,154654,1346,3
46,352223,136276,24,3
47,338256,154601,0,3
48,330800,138266,513,3
49,315973,135544,4077,3
50,320542,135909,1173,3
