runs,visibility,interactivity score,donation_value,diameter
1,337597,126986,786,3
2,335286,133244,406,2
3,316991,126251,444,2
4,318946,123244,0,2
5,334146,123711,424,2
6,346521,134496,116,2
7,340815,127062,228,2
8,313605,126921,60,2
9,314705,116496,164,2
10,342943,134177,63,2
11,330749,129058,0,2
12,340481,135870,18,2
13,342344,126443,828,2
14,338495,130694,138,2
15,335113,128372,217,2
16,321240,121735,540,2
17,337462,123546,405,2
18,331393,126196,43,2
19,336234,127426,110,2
20,328817,121633,1344,2
21,337284,134442,309,2
22,333728,128245,651,2
23,318129,129864,160,2
24,338100,129320,150,2
25,337033,130347,120,2
26,312897,129666,287,2
27,316402,122910,27,2
28,341057,136461,0,2
29,334942,129283,714,2
30,331614,127741,678,2
31,326643,125283,0,2
32,331489,124391,371,2
33,331468,126763,0,2
34,346052,136174,54,2
35,327686,124959,39,2
36,321936,118508,1484,2
37,322449,125810,158,2
38,336498,130635,321,2
39,333241,128253,92,2
40,335182,129349,309,2
41,322668,129187,0,2
42,343266,134296,40,2
43,328266,129746,119,3
44,339775,136935,429,2
45,323078,120133,2604,2
46,342219,131582,1781,2
47,347251,140772,195,2
48,318075,131593,130,2
49,346702,132128,64,2
50,338033,129783,1294,2
