runs,visibility,interactivity score,donation_value,diameter
1,313258,126482,801,3
2,308558,125031,112,2
3,335659,117381,0,2
4,334027,132171,270,3
5,310404,121709,1347,2
6,311341,144231,88,3
7,313967,144395,14,3
8,314660,135189,1120,3
9,333616,139839,23,3
10,335182,124699,50,3
11,331287,146222,0,3
12,340807,157295,0,2
13,352597,134799,0,3
14,336315,146868,32,3
15,313188,125261,0,3
16,318474,137124,1864,3
17,319527,129975,115,3
18,301502,116300,38,3
19,307934,123203,0,3
20,337508,135471,14,3
21,348245,139259,294,3
22,321804,131138,1156,3
23,348916,147722,317,2
24,368175,144867,175,2
25,368379,149254,23,2
26,344842,138360,0,3
27,330866,136746,506,2
28,338971,161637,292,3
29,347535,139818,565,3
30,303515,123053,37,3
31,324648,131618,0,3
32,349449,149459,103,3
33,311579,128487,0,3
34,335871,148397,656,2
35,315211,137664,0,2
36,340514,128784,0,3
37,321855,132634,18,3
38,330698,142084,144,2
39,347529,140072,907,3
40,320294,128608,17,3
41,346171,150004,1785,3
42,310522,111878,75,3
43,370526,154912,23,3
44,311889,145099,5427,3
45,333310,135996,461,2
46,285633,119049,825,3
47,302288,124933,2782,3
48,320343,139563,48,3
49,325805,138533,248,3
50,323319,132500,454,3
